instance,algorithm,demo_id,iteration,n_customers,n_depots,avg_demand,demand_std,capacity,area_span,density,progress,best_fitness,avg_fitness,fitness_std,convergence_rate,stagnation_counter,population_diversity,elite_ratio,improvement_rate,dynamic_orders,avg_delay,load_imbalance,alpha,beta,gamma,improvement,fitness_after
P-n16-k8,pso,1,30,15,1,16.4,8.138795979750322,35,100,0.01,0.6,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.58,0.44000000000000006,0.6200000000000001,0.0,475.7724340103465
P-n16-k8,pso,1,31,15,1,16.4,8.138795979750322,35,100,0.01,0.62,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.596,0.42800000000000005,0.6040000000000001,0.0,475.7724340103465
P-n16-k8,pso,1,32,15,1,16.4,8.138795979750322,35,100,0.01,0.64,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.612,0.41600000000000004,0.588,0.0,475.7724340103465
P-n16-k8,pso,1,33,15,1,16.4,8.138795979750322,35,100,0.01,0.66,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.628,0.404,0.572,0.0,475.7724340103465
P-n16-k8,pso,1,34,15,1,16.4,8.138795979750322,35,100,0.01,0.68,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.644,0.392,0.5559999999999999,0.0,475.7724340103465
P-n16-k8,pso,1,35,15,1,16.4,8.138795979750322,35,100,0.01,0.7,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.6599999999999999,0.38000000000000006,0.54,0.0,475.7724340103465
P-n16-k8,pso,1,36,15,1,16.4,8.138795979750322,35,100,0.01,0.72,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.6759999999999999,0.36800000000000005,0.524,0.0,475.7724340103465
P-n16-k8,pso,1,37,15,1,16.4,8.138795979750322,35,100,0.01,0.74,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.692,0.35600000000000004,0.508,0.0,475.7724340103465
P-n16-k8,pso,1,38,15,1,16.4,8.138795979750322,35,100,0.01,0.76,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.7080000000000001,0.3440000000000001,0.492,0.0,475.7724340103465
P-n16-k8,pso,1,39,15,1,16.4,8.138795979750322,35,100,0.01,0.78,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.7240000000000001,0.3320000000000001,0.476,0.0,475.7724340103465
P-n16-k8,pso,1,40,15,1,16.4,8.138795979750322,35,100,0.01,0.8,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.7400000000000001,0.32000000000000006,0.45999999999999996,0.0,475.7724340103465
P-n16-k8,pso,1,41,15,1,16.4,8.138795979750322,35,100,0.01,0.82,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.756,0.3080000000000001,0.44400000000000006,0.0,475.7724340103465
P-n16-k8,pso,1,42,15,1,16.4,8.138795979750322,35,100,0.01,0.84,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.772,0.29600000000000004,0.42800000000000005,0.0,475.7724340103465
P-n16-k8,pso,1,43,15,1,16.4,8.138795979750322,35,100,0.01,0.86,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.788,0.28400000000000003,0.41200000000000003,0.0,475.7724340103465
P-n16-k8,pso,1,44,15,1,16.4,8.138795979750322,35,100,0.01,0.88,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.804,0.272,0.396,0.0,475.7724340103465
P-n16-k8,pso,1,45,15,1,16.4,8.138795979750322,35,100,0.01,0.9,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.8200000000000001,0.26,0.38,0.0,475.7724340103465
P-n16-k8,pso,1,46,15,1,16.4,8.138795979750322,35,100,0.01,0.92,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.8360000000000001,0.248,0.364,0.0,475.7724340103465
P-n16-k8,pso,1,47,15,1,16.4,8.138795979750322,35,100,0.01,0.94,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.852,0.2360000000000001,0.34800000000000003,0.0,475.7724340103465
P-n16-k8,pso,1,48,15,1,16.4,8.138795979750322,35,100,0.01,0.96,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.868,0.2240000000000001,0.332,0.0,475.7724340103465
P-n16-k8,pso,1,49,15,1,16.4,8.138795979750322,35,100,0.01,0.98,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.884,0.21200000000000008,0.316,0.0,475.7724340103465
P-n16-k8,pso,2,0,15,1,16.4,8.138795979750322,35,100,0.01,0.0,1000.0,1000.0,100.0,0.0,0,0.5,0.1,0,0,0,0,0.1,0.8,0.3,0.0,475.7724340103465
P-n16-k8,pso,2,1,15,1,16.4,8.138795979750322,35,100,0.01,0.02,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.116,0.788,0.316,0.0,475.7724340103465
P-n16-k8,pso,2,2,15,1,16.4,8.138795979750322,35,100,0.01,0.04,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.132,0.776,0.33199999999999996,0.0,475.7724340103465
P-n16-k8,pso,2,3,15,1,16.4,8.138795979750322,35,100,0.01,0.06,475.7724340103465,475.77243401034656,100.0,0.0,0,0.5,0.1,0,0,0,0,0.14800000000000002,0.764,0.348,0.0,475.7724340103465
P-n16-k8,pso,2,4,15,1,16.4,8.138795979750322,35,100,0.01,0.08,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.164,0.752,0.364,0.0,475.7724340103465
P-n16-k8,pso,2,5,15,1,16.4,8.138795979750322,35,100,0.01,0.1,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.18000000000000002,0.74,0.38,0.0,475.7724340103465
P-n16-k8,pso,2,6,15,1,16.4,8.138795979750322,35,100,0.01,0.12,475.7724340103465,475.77243401034644,100.0,0.0,0,0.5,0.1,0,0,0,0,0.196,0.7280000000000001,0.396,0.0,475.7724340103465
P-n16-k8,pso,2,7,15,1,16.4,8.138795979750322,35,100,0.01,0.14,475.7724340103465,475.77243401034644,100.0,0.0,0,0.5,0.1,0,0,0,0,0.21200000000000002,0.7160000000000001,0.41200000000000003,0.0,475.7724340103465
P-n16-k8,pso,2,8,15,1,16.4,8.138795979750322,35,100,0.01,0.16,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.228,0.7040000000000001,0.42800000000000005,0.0,475.7724340103465
